Study.ID,rep,density.number,measure,shrub-animal,facilitation,plant.species,animal.species,animal.richness,animal.abundance,animal.diversity,lat,lng,macrohabitat,mesohabitat,standardized.density,standardized.density.unit,n_days,n_years
5,5.01,0.01,shrub/area,y,y,Ephedra californica,Gambelia sila,,27,,35.1914,-119.7929,desert,shrub/open,0.01,shrub/area,24,
6,6.07,3,shrubs/m^2,y,y,Caragana Microphylla,,,38,,43.3,121.3,desert,dunes,3,shrubs/m^2,,8
6,6.08,4,shrubs/m^2,y,y,Caragana Microphylla,,,38,,43.3,121.3,desert,dunes,4,shrubs/m^2,,8
6,6.06,7,shrubs/m^2,y,y,Caragana Microphylla,,,38,,43.3,121.3,desert,dunes,7,shrubs/m^2,,8
6,6.03,8,shrubs/m^2,y,y,Caragana Microphylla,,,38,,43.3,121.3,desert,dunes,8,shrubs/m^2,,8
6,6.04,9,shrubs/m^2,y,y,Caragana Microphylla,,,38,,43.3,121.3,desert,dunes,9,shrubs/m^2,,8
6,6.01,10,shrubs/m^2,y,y,Caragana Microphylla,,,38,,43.3,121.3,desert,dunes,10,shrubs/m^2,,8
6,6.05,10,shrubs/m^2,y,y,Caragana Microphylla,,,38,,43.3,121.3,desert,dunes,10,shrubs/m^2,,8
6,6.02,13,shrubs/m^2,y,y,Caragana Microphylla,,,38,,43.3,121.3,desert,dunes,13,shrubs/m^2,,8
26,26.02,5.6,shrub/area,y,y,,Martens americana,,,,49.4166667,-82.4166667,forest,shrub/tree cover,5.6,shrubs/m^2,,
26,26.01,7.6,shrub/area,y,y,,Martens americana,,,,49.4166667,-82.4166667,forest,shrub/tree cover,7.6,shrubs/m^2,,
83,83.04,3.7,percent cover,y,n,Artemisia tridentata,small mammals,,13,,38.980029,-114.299907,mountain,shrub/tree,,,,11
83,83.03,4.2,percent cover,y,n,Artemisia tridentata,small mammals,,15,,38.980029,-114.299907,mountain,shrub/tree,,,,11
83,83.01,13.1,percent cover,y,n,Artemisia tridentata,small mammals,,22,,38.980029,-114.299907,mountain,shrub/tree,,,,11
83,83.02,18.6,percent cover,y,n,Artemisia tridentata,small mammals,,22,,38.980029,-114.299907,mountain,shrub/tree,,,,11
115,115.05,0,no/ha^2,y,y,Caragana korshinskii ,Salticidae,6,0.3,,38.166667,107.683333,grassland,shrub,0,shrubs/m^2,10,
115,115.09,0,no/ha^2,y,y,Caragana korshinskii ,Gnaphosidae,6,0.3,,38.166667,107.683333,grassland,shrub,0,shrubs/m^2,10,
115,115.15,0,no/ha^2,y,y,Caragana korshinskii ,Labiduridae,6,38.7,,38.166667,107.683333,grassland,shrub,0,shrubs/m^2,10,
115,115.23,0,no/ha^2,y,y,Caragana korshinskii ,Carabidae,6,6.7,,38.166667,107.683333,grassland,shrub,0,shrubs/m^2,10,
115,115.3,0,no/ha^2,y,y,Caragana korshinskii ,Buprestidae,6,0.3,,38.166667,107.683333,grassland,shrub,0,shrubs/m^2,10,
115,115.4,0,no/ha^2,y,y,Caragana korshinskii ,Melolonthidae,6,0.3,,38.166667,107.683333,grassland,shrub,0,shrubs/m^2,10,
115,115.54,0,no/ha^2,y,y,Caragana korshinskii ,Dermestidae,6,1,,38.166667,107.683333,grassland,shrub,0,shrubs/m^2,10,
115,115.55,0,no/ha^2,y,y,Caragana korshinskii ,Tenebrionidae,6,99,,38.166667,107.683333,grassland,shrub,0,shrubs/m^2,10,
115,115.73,0,no/ha^2,y,y,Caragana korshinskii ,Pompilidae,6,0.3,,38.166667,107.683333,grassland,shrub,0,shrubs/m^2,10,
115,115.01,1667,no/ha^2,y,y,Caragana korshinskii ,_Oniscidae,22,5.3,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.04,1667,no/ha^2,y,y,Caragana korshinskii ,Phalangiidae,22,1,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.07,1667,no/ha^2,y,y,Caragana korshinskii ,Lycosidae,22,1,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.12,1667,no/ha^2,y,y,Caragana korshinskii ,Philodromidae,22,4.7,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.14,1667,no/ha^2,y,y,Caragana korshinskii ,Liocranidae,22,2,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.17,1667,no/ha^2,y,y,Caragana korshinskii ,Labiduridae,22,1,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.19,1667,no/ha^2,y,y,Caragana korshinskii ,Coreidae,22,1,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.2,1667,no/ha^2,y,y,Caragana korshinskii ,Scutelleridae,22,5,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.22,1667,no/ha^2,y,y,Caragana korshinskii ,Lygaeidae,22,1.7,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.27,1667,no/ha^2,y,y,Caragana korshinskii ,Carabidae,22,27.7,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.29,1667,no/ha^2,y,y,Caragana korshinskii ,Chrysomelidae,22,24.7,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.32,1667,no/ha^2,y,y,Caragana korshinskii ,Buprestidae,22,4,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.39,1667,no/ha^2,y,y,Caragana korshinskii ,Glaphyridae,22,0.3,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.44,1667,no/ha^2,y,y,Caragana korshinskii ,Melolonthidae,22,34.3,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.48,1667,no/ha^2,y,y,Caragana korshinskii ,Geotrupidae,22,3.7,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
