Study.ID,rep,richness,diversity,N.sites,n.sites
5,5.01,2,2,2,
6,6.01,16,2,1,3
6,6.02,16,2,1,3
6,6.03,16,2,1,3
6,6.04,16,2,1,3
6,6.05,16,2,1,3
6,6.06,16,2,1,3
6,6.07,16,2,1,3
6,6.08,16,2,1,3
12,12.01,3,9,2,2
12,12.02,3,9,2,2
21,12.03,,,8,3
21,12.04,,,8,3
21,12.05,,,8,3
21,12.06,,,8,3
22,22.01,3,5,1,7
26,26.01,7,7,3,3
26,26.02,7,7,3,3
27,27.01,2,3,2,78
27,27.02,2,3,2,78
45,45.01,20,,5,3
45,45.02,20,,5,3
45,45.03,20,,5,3
48,48.01,,,2,0
66,66.01,21,3.22,9,48
78,78.01,,1,2,1
79,79.01,2,2,2,10
80,80.01,1,2,2,30
80,80.02,1,2,2,15
82,82.01,2,2,3,4
82,82.02,2,2,3,5
82,82.03,2,2,3,6
82,82.04,2,2,3,7
82,82.05,2,2,3,8
82,82.06,2,2,3,9
83,83.01,2.5,2,2,12
83,83.02,2.5,2,2,12
83,83.03,2.5,2,2,12
83,83.04,2.5,2,2,12
88,88.01,3,1,1,4
88,88.02,3,1,1,4
94,94.01,3,2,1,52
94,94.02,3,2,1,52
94,94.03,3,2,1,52
94,94.04,3,2,1,52
94,94.05,3,2,1,52
94,94.06,3,2,1,52
94,94.07,3,2,1,52
94,94.08,3,2,1,52
94,94.09,3,2,1,52
94,94.1,3,2,1,52
94,94.11,3,2,1,52
94,94.12,3,2,1,52
94,94.13,3,2,1,52
94,94.14,3,2,1,52
94,94.15,3,2,1,52
94,94.16,3,2,1,52
94,94.17,3,2,1,52
94,94.18,3,2,1,52
94,94.19,3,2,1,52
94,94.2,3,2,1,52
94,94.21,3,2,1,52
94,94.22,3,2,1,52
94,94.23,3,2,1,52
94,94.24,3,2,1,52
94,94.25,3,2,1,52
94,94.26,3,2,1,52
94,94.27,3,2,1,52
94,94.28,3,2,1,52
94,94.29,3,2,1,52
94,94.3,3,2,1,52
94,94.31,3,2,1,52
94,94.32,3,2,1,52
94,94.33,3,2,1,52
94,94.34,3,2,1,52
94,94.35,3,2,1,52
94,94.36,3,2,1,52
94,94.37,3,2,1,52
94,94.38,3,2,1,52
94,94.39,3,2,1,52
94,94.4,3,2,1,52
94,94.41,3,2,1,52
94,94.42,3,2,1,52
94,94.43,3,2,1,52
94,94.44,3,2,1,52
94,94.45,3,2,1,52
94,94.46,3,2,1,52
94,94.47,3,2,1,52
94,94.48,3,2,1,52
94,94.49,3,2,1,52
94,94.5,3,2,1,52
94,94.51,3,2,1,52
94,94.52,3,2,1,52
95,95.01,2,2,1,480
95,95.02,2,2,1,480
96,96.01,11.3,,2,4
96,96.02,11.3,,2,4
96,96.03,11.3,,2,4
96,96.04,11.3,,2,4
96,96.05,11.3,,2,4
96,96.06,11.3,,2,4
96,96.07,11.3,,2,4
99,99.01,5,4,1,20
106,106.01,3,9,1,1
112,112.01,2,5,1,4
115,115.01,,,3,4
115,115.02,,,3,4
115,115.03,,,3,4
115,115.04,,,3,4
131,131.01,,,2,80
131,131.02,,,2,80
149,149.01,,,2,6
151,151.01,,,5,2
151,151.02,,,5,2
151,151.03,,,5,2
151,151.04,,,5,2
151,151.05,,,5,2
151,151.6,,,5,2
153,153.01,,,29,1
155,155.01,2,2,1,49
155,155.02,2,2,1,49
169,169.01,,,3,9
169,169.02,,,3,9
169,169.03,,,3,9
169,169.04,,,3,9
169,169.05,,,3,9
169,169.06,,,3,9
169,169.07,,,3,9
169,169.08,,,3,9
169,169.09,,,3,9
169,169.1,,,3,9
169,169.11,,,3,9
169,169.12,,,3,9
169,169.13,,,3,9
169,169.14,,,3,9
169,169.15,,,3,9
169,169.16,,,3,9
184,184.01,2,2,2,4
184,184.02,2,2,2,4
184,184.03,2,2,2,4
184,184.04,2,2,2,4
186,186.01,2.6,,2,20
186,186.02,2.6,,2,14
193,193.01,3,5,3,3
193,193.02,3,5,3,3
193,193.03,3,5,3,3
193,193.04,3,5,3,3
193,193.05,3,5,3,3
193,193.06,3,5,3,3
193,193.07,3,5,3,3
193,193.08,3,5,3,3
211,211.01,,,18,4
211,211.02,,,18,4
211,211.03,,,18,4
211,211.04,,,18,4
217,217.01,,,3,4
217,217.02,,,3,5
217,217.03,,,3,6
217,217.04,,,3,7
217,217.05,,,3,8
217,217.06,,,3,9
217,217.07,,,3,4
217,217.08,,,3,5
217,217.09,,,3,6
217,217.1,,,3,7
217,217.11,,,3,8
217,217.12,,,3,9
233,233.01,,,3,30
233,233.02,,,3,30
233,233.03,,,3,30
233,233.04,,,3,30
233,233.05,,,3,30
233,233.06,,,3,30
233,233.07,,,3,30
233,233.08,,,3,30
233,233.09,,,3,30
233,233.1,,,3,30
233,233.11,,,3,30
233,233.12,,,3,30
233,233.13,,,3,30
233,233.14,,,3,30
233,233.15,,,3,30
233,233.16,,,3,30
233,233.17,,,3,30
233,233.18,,,3,30
233,233.19,,,3,30
233,233.2,,,3,30
261,261.01,0.1,,2,30
261,261.02,0.1,,2,15
261,261.03,0.1,,2,30
261,261.04,0.1,,2,15
261,261.05,0.1,,2,30
261,261.06,0.1,,2,15
261,261.07,0.1,,2,30
261,261.08,0.1,,2,15
261,261.09,0.1,,2,30
273,273.01,,,2,30
273,273.02,,,2,15
276,276.01,,2,4,24
276,276.02,,2,4,35
