Study.ID,Authors,Title,Publication Date,Notes,purpose_of_study,lat,long,technique,shrub_species,total_animal_species_tested,n_sites,ecosystem
151,"Davies, Kirk W.; Bates, Jonathan D.; Nafus, Aleta M.",Mowing Wyoming Big Sagebrush Communities With Degraded Herbaceous Understories: Has a Threshold Been Crossed?,12-Sep,Actually looks at shrub density and gives methedology for how they measured it (Transect). Looks also at brome in shrubland so could be a super good paper!,To determine the response of Wyoming big sagebrush plant communities with degraded herbaceous understories to mowing.,43.966667,-119.033333,experimental,Artemisia tridentata,0,5,Desert
248,"Lortie, Christopher J.; Gruber, Eva; Filazzola, Alex; Noble, Taylor; Westphal, Michael",The Groot Effect: Plant facilitation and desert shrub regrowth following extensive damage,18-Jan,Facilitation is major component of this paper. Does not specifically look at shrub density itself but does have some mentions of density of shrubs so might be useful for this paper,"To directly examine whether a common desert shrub species within California, Ephedra californica, can recover from mechanical damage introduced during a period of extended drought.",36.696267,-120.7981,experimental,Ephedra californica,0,1,Desert
83,"Hamilton, Bryan T.; Roeder, Beverly L.; Horner, Margaret A.",Effects of Sagebrush Restoration and Conifer Encroachment on Small Mammal Diversity in Sagebrush Ecosystem,19-Jan,Looks at sage bush restoration and how it will facilitate a larger density of shrub and plants to be experienced. Does have some data for density,"To evaluate the relationships between conifer encroachment, sagebrush restoration, and small mammal diversity in a sagebrush ecosystem over 11 yr.",38.98,_114.30,experimental,Juniperus osteosperma,1973,1,Desert
233,"FRANCOPIZANA, J; FULBRIGHT, TE; GARDINER, DT",SPATIAL RELATIONS BETWEEN SHRUBS AND PROSOPIS-GLANDULOSA CANOPIES,Feb-95,Great paper that looks at shrub density and its association with facilitating other woody shrubs (their establishment of other woody shrubs),To determine if ed soil nutrients and attenuation of solar radiation beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster developmen,27.6,-97.95,experimental,Prosopis glandulosa,0,3,Desert
211,"He, Yuhui; Liu, Xinping; Xie, Zhongkui",SHRUB EFFECTS ON HERBACEOUS VEGETATION VARY WITH GROWTH STAGES AND HERB RELATIVE LOCATION,2014,Paper looks mainly at plant density but does look at shrub density to an extent. Also looks to see if the shrubs facilitate other vegetation near them,To determine how the presence of shrubs influenced the growth of neighbouring herbaceous plants.,36.216667,103.616667,experimental,Reaumuria soongorica,0,1,Desert
79,"Noumi, Zouhaier",Effects of exotic and endogenous shrubs on understory vegetation and soil nutrients in the south of Tunisia,15-Aug,Pretty good paper looking at various species of shrubs and density is recorded in them,To select the optimal species (exotic or endogenous) that can be used as candidate species for ecological restoration in arid zones of Tunisia.,33.665556,9.011667,experimental,Retama raetam,0,2,Desert
94,"Angelica Gomez-Ruiz, Pilar; Lindig-Cisneros, Roberto; Vargas-Rios, Orlando","Facilitation among plants: A strategy for the ecological restoration of the high-andean forest (Bogota, DC-Colombia)",13-Aug,Does look at shrub density (medium level) and looks at facilitative interactions. Has data that can be used,To evaluate interactions between the leguminous and native species by measuring growth parameters.,4.384111,-74.166306,experimental,Lupinus bogotensis,0,1,Forest
106,"Gusman-M, Elizabeth; de la Cruz, Marcelino; Espinosa, Carlos Ivan; Escudero, Adrian",Focusing on individual species reveals the specific nature of assembly mechanisms in a tropical dry-forest,18-Oct,Has density of both trees and shrubs in  a hector area. They are included together in the same measurment. Also connects facilitative interactions with this density.,To analyze the effect of each study species on the structure of community diversity.,-3.570956,80.146153,experimental,Not specified,0,1,Forest
185,"Mendez-Toribio, Moises; Maria Gonzalez-Di Pierro, Ana; Quesada, Mauricio; Benitez-Malvido, Julieta",Regeneration beneath a dioecious tree species (Spondias purpurea) in a Mexican tropical dry forest,2014,Paper looks at density of woody seedlings (including shrubs) and does have measurements for density (With respect to parent woody species). Also mentions facilitative effects,To determine if S. purpurea females could act as nucleation sites of initial regeneration as a result of directed dispersal and by providing highly favourable recruitment sites,19.366667,-104.933333,experimental,Not specified,0,1,Forest
80,"Nottebrock, Henning; Esler, Karen J.; Schurr, Frank M.",Effects of intraspecific and community density on the lifetime fecundity of long-lived shrubs,2013,Looks at the density of various shrub species I africa. There are measurments and values in this pdf. I think it would be an excellent addition,A study of the density dependence of lifetime fecundity in two long-lived shrub species (Protea repens (L.) L. and Leucadendron rubrum Burm. f.) from the South African Cape Floristic Region (CFR).,-33.689722,18.510833,experimental,Protea repens,0,1,Forest
